"Nr","name","street","zip","city","openingHours","phone","fax","mail","web","facebook","speakerPrivate","speakerPublic","spokenLanguages","tags","description","lat","lon","F19","F20","F21","F22","F23","F24","F25","F26","F27"
"34","Sächsischer Flüchtlingsrat","Dammweg 5","01097","Dresden",,"0351/30990102, 0351/87451710",,"info@saechsischer-fluechtlingsrat.de","http://saechsischer-fluechtlingsrat.de/","https://www.facebook.com/pages/S%C3%A4chsischer-Fl%C3%BCchtlingsrat-eV/204490826370915?fref=ts","Ali Moradi, Patrick Irmer","0","""ቋንቋታት ኢንግሊዝ: ጀርመን: ሩስያ: ዓረብ: ፈረንሳይ:ጥልያን:ፋርስ","ምኽሪ:ንስልጠና ዝኸውን ምወላታት:ናይ ስልጠና ስራሕ:ምኽርታት ብዛዕባ መስርሕ ሕቶ ዑቕባ: ማሕበራዊ ሓገዛት","0",,,,,,,,,,,
"35","traumaberatung","0","0","0","","",0.00,"0","0","0","0","0","0","0","0",,,,,,,,,,,
"36","gemeindedolmetscherdienst","0","0","0","0","0",0.00,"0","0","0","0","0","0","0","0",,,,,,,,,,,
"37","Regionalkoordination Flüchtlingssozialarbeit Cotta","0","0","0","0","0",0.00,"0","0","0","0","0","0","0","0",,,,,,,,,,,
"38","Regionalkoordination Flüchtlingssozialarbeit Prohlis/Leuben","Lohrmannstr.20","01237","Dresden"," ሰሉስ 13:00 - 16:00","Prohlis: 0157 38524468 u.Leuben 0152 54918797",0.00,"asyl@caritas-dresden.de","","0","Herr Dietze , Herr Fried","0","ቋንቋታት ኢንግሊዝ: ሩስያ: ዓረብ","ኣብ ፕሮህሊስን ሎይበን ንዝነብሩ ሓተቲ ዑቕባ ማሕበራዊ ሓገዝን ምኽርን ምሃብ: (ዝተነጻጸለ መንበሪታት): ኣብ ፕሮህሊስን ሎይበን ንዝግበሩ ቀረባት ምውህሃድ: ውልቃዊ ተበግሶታት:","ንሓተቲ ዑቕባ ኣብ ፕሮህሊስን ሎይበንን ዝዳለዉ መደባት ምውህሃድ። ወለንታዊ ተበግሶታት",,,,,,,,,,,
"39","Regionalkoordination Flüchtlingssozialarbeit Altstadt/Pauen","0","0","0","0","0",0.00,"0","0","0","0","0","0","0","0",,,,,,,,,,,
"40","Regionalkoordination Neustadt/Klotzsche/Pieschen","0","0","0","0","0",0.00,"0","0","0","0","0","0","0","0",,,,,,,,,,,
"41","Regionalkoordination Blawitz/Schönfld-Weißig/Loschwitz","0","0","0",,"0",0.00,"0","0","0","0","0","0","0","0",,,,,,,,,,,
"42","Dresdner Verein für soziale Integration von Ausländern und Aussiedlern e.V.","Lingneralle 3","01069","Dresden","ሶኒ - ሓሙስ 09:00-17:00, ዓርቢ 09:13:00","0351 4843803",,"viaa.dd@t-online.de","www.convectus.de","0","Dr. Ingrid Blankenburg","0","25","ምምኻር: ናይ ኣገልግሎት ምስቱርጋም ሓገዛት:መምርሕታት ንሓተቲ ዑቕባ: ደቀንስትዮን ስልጠናታት ቋንቋ ጀርመን  ","መርበብ ሓበሬታ ተመልከት",,,,,,,,,,,
"43","Jugendmigrationsdienst","Schweriner Str.27","01067","Dresden","ሶኒ ብቆፀሮ, ሓሙስ ካብ 13:00 -17:00","0351 4984746 /745/ 742",,"jmd@caritas-dresden.de","www.caritas-dresden.de","0","0","0","0","ሓገዛት ትሕቲ 27 ዓምት ንዝዕድሚኦም ሓተቲ ዑቕባ መንእሰያት: ትምህርቲ ቋንቋ: ኣካዳሚ ስልጠናታት: ስራሕን መጽናዕታትን","ማሕበር JMD ንትሕቲ 27 ዓመት ዝዕድሚ ሓደስቲ ሓተቲ ዑቕባ ምኽሪ ዝወሃቦ ቦታ እዩ። ኣተኩሮኡ ኣብ ትምህርቲ  ቋንቋ: ሞያ: ላዕለዋይ ደረጃ ትምህርትን እዩ።  ብተወሳኺ ውን  ፍሉይ ናይ ቆልዑ ሃገዝ ነገብር (§ 8a SGB VIII). ",,,,,,,,,,,
"44","International Café im Artderkultur e.V.","Görlitzer Str. 42","01099","Dresden","ዓርቢ 14:00-19:00","0172-3434059 (Pune)
0163-1628201 (Fabiane)",0.00,"0","0","0","0","0","0","0","0",,,,,,,,,,,
"45","HELLERAU - Europäisches Zentrum der Künste Dresden","Karl-Liebknecht-Str. 56","01109","Dresden","መእተዊ ቢነፃ ን ፅግዕተኝት ንዚሓተቱ፣ ኣብ Garten Golgi Park,   ወግዒን ጨዋታን","0351 2646237",0.00,"wetzel@hellerau.org (Frauke Wetzel)","www.hellerau.org","0","0","0","0","0","0",,,,,,,,,,,
"46","Altstädter Dialog","0","0","0",,"0",0.00,"FBauer1@dresden.de","0","0","OAL Herr Barth, Stellv. Herr Bauer","0","0","0","ሓድሽ ዝተመስረተ ተበግሶ: ብኣካልት መንግስቲ: ውድባትን ሲቪካዊ ማሕበራትን",,,,,,,,,,,
"47","Gruppe Cartonage","0","0","0","0","0",0.00,"gruppe.cartonage@notraces.net","http://cartonage.blogsport.de/","0","","0","0","0","ንመሰል ስደተኛታትን ነቕፌታ ንህሉው ኣተሓሕዝኡ ብመንግስቲ ጀርመንን ዘተኩር።",,,,,,,,,,,
"48","Dresden - place to be e. V.","Dr.-Külz-Ring 12","01067","Dresden","0","0151 23701485",0.00,"dd.placetobe@googlemail.com","http://www.dresden-place-to-be.de/","0","0","0","0","0","0",,,,,,,,,,,
"49","Bürgercourage e.V.","Prießnitzstraße 18","01099 ","Dresden","0","0157-73 82 77 62",,"info@buerger-courage.de","0","0","0","0","0","0","0",,,,,,,,,,,
"50","Runder Tisch Asyl, OA Neustadt","0","0","0","0","0",0.00,"0","0","0","0","0","0","0","0",,,,,,,,,,,
"51","Jugendwerk Dresden","Oberwachwitzer Weg 13","01326 ","Dresden","0","0",0.00,"change@betterplace.org","https://www.betterplace.org/en/organisations/jugendwerkdresden","0","0","0","0","0","0",,,,,,,,,,,
"52","Initiative für Flüchtlinge Bühlau-Rochwitz","0","0","0","0","0",0.00,"Christian-karpf@gmx.de","0","0","Christian Karpf","Christian Karpf","0","0","0",,,,,,,,,,,
"53","German lessons für Refugees Dresden","Bibliothek am WTC und Zweigstelle Neustadt","0","0","0","0",0.00,"0","0","https://www.facebook.com/GermanLessonsforRefugees","0","","0","0","ኮርሳት ኣብ ቤት-መጻሕፍት ኖይስታድት (Bibliothek Neutstadt) ከምኡ ውን ማእከላዊ ቤት-መጻሕፍቲ  (Zentralbibliothek)",,,,,,,,,,,
"54","Women* refugee meeting","M.-Luther-Str. 13","0","Dresden","0","0",0.00,"0","0","0","0","0","0","0","ዝተፈላለየ ቋንቋታት ምቕራብተፈላለየ ናይ ምዝንጋዕ መደባት ንደቀንስት: ንኣብነትብሓባር ምምጋብ: ምኽሻን: ምስዕሳዕ: ኣብ ስፖርት ምንጣፍ: ምስ ጀርመናውያን ደቀንስትዩ ምልላይ።",,,,,,,,,,,
"55","TOLERADE","0","0","0","0","0176 / 22 77 85 48",0.00,"tolerave@gmail.com","0","0","Dana Bondartschuk ","0","0","0","ሙዚቃዊ ምርኢታት ምስ ዓሊታዊ ጽልዋታት ኣብ ድረስደን ብዝተኣሳሰር:ሳክሰን  ብሕጊ ክትቃወሞ ዘለዋ ጉዳይ። ከምኡ ውን ንዙሕነታዊ ባህላዊ ኣቃውማ ድረስደን ዝጠልብ ሰለማዊ ሰልፍታት ንውድብ።",,,,,,,,,,,
