"Nr","name","street","zip","city","openingHours","phone","fax","mail","web","facebook","speakerPrivate","speakerPublic","spokenLanguages","tags","description","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27"
"45","HELLERAU - Europäisches Zentrum der Künste Dresden","Karl-Liebknecht-Str. 56","01109","Dresden","باورچی خانے کے باغ گولگا پارک میں پناہ گزینوں کے لئے مفت داخلہ، بات کریں","0351 2646237",0.00,"wetzel@hellerau.org (Frauke Wetzel)","www.hellerau.org","0","0","0","0",,,,,,,,,,,,,
"46","Altstädter Dialog","0","0","Dresden",,"0",0.00,"FBauer1@dresden.de","0","0","OAL Herr Barth, Stellv. Herr Bauer","0","0",,"اس اقدام سے حکومت، تنظیموں اور سول سوسائٹی کو نو قائم",,,,,,,,,,,
"47","Gruppe Cartonage","0","0","Dresden","0","0",0.00,"gruppe.cartonage@notraces.net","http://cartonage.blogsport.de/","0","","0","0",,"جرمنی میں پناہ گزینوں کے موجودہ ڈھانچے کو ان کے ساتھ نمٹنے کے لئے تنقید کے حقوق کی خاطر",,,,,,,,,,,
"48","Dresden - place to be e. V.","Dr.-Külz-Ring 12","01067","Dresden","0","0151 23701485",0.00,"dd.placetobe@googlemail.com","http://www.dresden-place-to-be.de/","0","0","0","0",,,,,,,,,,,,,
"49","Bürgercourage e.V.","Prießnitzstraße 18","01099 ","Dresden","0","0157-73 82 77 62",,"info@buerger-courage.de","0","0","0","0","0",,,,,,,,,,,,,
"50","Runder Tisch Asyl, OA Neustadt","0","0","Dresden","0","0",0.00,"0","0","0","0","0","0",,,,,,,,,,,,,
"51","Jugendwerk Dresden","Oberwachwitzer Weg 13","01326 ","Dresden","0","0",0.00,"change@betterplace.org","https://www.betterplace.org/en/organisations/jugendwerkdresden","0","0","0","0",,,,,,,,,,,,,
"52","Initiative für Flüchtlinge Bühlau-Rochwitz","0","0","Dresden","0","0",0.00,"Christian-karpf@gmx.de","0","0","Christian Karpf","Christian Karpf","0",,,,,,,,,,,,,
"53","German lessons für Refugees Dresden","Bibliothek am WTC und Zweigstelle Neustadt","0","Dresden","0","0",0.00,"0","0","https://www.facebook.com/GermanLessonsforRefugees","0","","0",,"لائبریری نیوٹستدٹ اور مرکزی لائبریری میں کورسز",,,,,,,,,,,
"54","Women* refugee meeting","M.-Luther-Str. 13","0","Dresden","0","0",0.00,"0","0","0","0","0","0",,"کثیر لسانی پیشکش: کھانے، پناہ گزیں عورتوں کے لیے مختلف تفریحی سرگرمیوں باورچی خانے سے متعلق، رقص، کھیلوں، مشق جرمن خواتین علم حاصل",,,,,,,,,,,
"55","TOLERADE","0","0","Dresden","0","0176 / 22 77 85 48",0.00,"tolerave@gmail.com","0","0","Dana Bondartschuk ","0","0",,"ڈریسڈن، میں بیزاری رجحانات کے ساتھ موسیقی پریڈ Saxony کی مخالفت کیا جا سکتا ہے ۔ یہ تنوع ڈریسڈن کے ثقافتی منظر کے اندر بیک وقت مظاہرہ ہے",,,,,,,,,,,
