"name","placename","street","zip","city","openingHours","phone","fax","mail","web","facebook","speakerPrivate","speakerPublic","spokenLanguages","description","category_horbz","category","subCategory","lat","lon"
"Caritas Verband Oberlausitz e.V.- Migrationserstberatung für Erwachsene, Hilfe für Asylbewerber, Flüchtlinge und Ausländer",,"Haydnstraße 8","01917","Kamenz","Donnerstag 15 - 17 Uhr","03578 3743 20","03578 3743 24","meb@caritas-oberlausitz.de, a.rentsch@caritas-oberlausitz.de","http://www.caritas-oberlausitz.de/migration02.htm",,"Andreas Rentsch (Dipl.-Sozialarbeiter FH)","Andreas Rentsch (Dipl.-Sozialarbeiter FH)","Deutsch","Sie können zu uns kommen, wenn Sie als Spätaussiedler in die Bundesrepublik Deutschland eingereist sind, 
als ausländischer Ehepartner mit einer Spätaussiedlerfamilie oder über die Familienzusammenführung in Deutschland eingereist sind, mit einem deutschen Partner leben oder verheiratet sind und einen Aufenthaltstitel für Deutschland in Ihrem ausländischen Pass haben, als ausländischer Bürger in Deutschland leben und Rat suchen, das 27. Lebensjahr vollendet haben oder Fragen haben, die nicht jugendtypisch sind. Die Beratung ist kostenlos. Wir nehmen uns Zeit und beraten Sie zu allen Formalitäten und Anmeldungen am neuen Wohnort (Erstberatung), zu den rechtlichen Gegebenheiten z. B. Zuwanderung, soziale Sicherung, zum Leben in der Bundesrepublik Deutschland, bei persönlichen Problemen und Schwierigkeiten, die mit der Zuwanderung entstehen, über Möglichkeiten des Erlernens der deutschen Sprache in Sprachkursen.","Beratung","df402493-f467-4472-8b98-9038d2ac967e",,"51.274334","14.096299"
"Caritas Verband Oberlausitz e.V.- Schwangerschaftsberatung, Einzel- und Paarberatung, Sexualpädagogik",,"Kirchplatz 2","02625","Bautzen","Montag und Donnerstag 13 - 17 Uhr, Dienstag 8 - 12 Uhr, Mittwoch 13 - 15 Uhr ","03591 498260","03591 498219","schwangerschaftsberatung@caritas-oberlausitz.de","http://www.caritas-oberlausitz.de/cs1.htm#Schwangerschaftsberatung%20Bautzen",,"Gisela Grubert und Franziska Hennig","Gisela Grubert und Franziska Hennig","Deutsch","Sexualpädagogik - Gruppenangebote für Schulen, Gemeinden, Kinder und Jugendliche sowie Eltern","Beratung","df402493-f467-4472-8b98-9038d2ac967e",,"51.180624","14.42895"
"Caritas Verband Oberlausitz e.V. - Schwangerschaftsberatung, Einzel- und Paarberatung, Sexualpädagogik",,"Haydnstraße 8","01917","Kamenz","Mittwoch 8 - 14 Uhr","03578 374322","03578 374324","schwangerschaftsberatung@caritas-oberlausitz.de","http://www.caritas-oberlausitz.de/cs1.htm#Schwangerschaftsberatung%20Kamenz",,"Gisela Grubert","Gisela Grubert","Deutsch","Sexualpädagogik - Gruppenangebote für Schulen, Gemeinden, Kinder und Jugendliche sowie Eltern","Beratung","df402493-f467-4472-8b98-9038d2ac967e",,"51.274334","14.096299"
"Caritas Verband Oberlausitz e.V. - Sozialer Möbeldienst ",,"Edison-Straße 17","02625","Bautzen","Montag + Mittwoch 10 - 12 Uhr, Dienstag + Donnerstag 13 - 18 Uhr","03591 302014","03591 599584","moebeldienst@caritas-oberlausitz.de","http://www.moebeldienst-bautzen.de/",,"Thomas Zschornack","Thomas Zschornack","Deutsch","Das Angebot unseres Möbeldienstes können Sie tagesaktuell auf der Homepage ansehen. Ratenvereinbarungen sind möglich. Helfen Sie uns auch durch Ihre Möbelspende - rufen Sie an - wir vereinbaren kurzfristig einen Termin mit Ihnen und holen die Gegenstände bei Ihnen kostenlos ab.","Spenden und Angebote","744f41e9-799c-432b-a9a3-e78d471ec51a",,"51.16362","14.42515"
"Caritas Verband Oberlausitz e.V. - Soziale Beratung für Schuldner",,"Haydnstraße 8","01917","Kamenz","Montag 13 - 17 Uhr, Dienstag 9 - 16 Uhr,  Freitag 9 - 12 Uhr","03578 374323",,"schuldnerberatung@caritas-oberlausitz.de","http://www.caritas-oberlausitz.de/cs1.htm#Schuldner",,"Bernward Kreutzkam, Jochen Minihoffer ","Bernward Kreutzkam, Jochen Minihoffer ","Deutsch",,"Beratung","df402493-f467-4472-8b98-9038d2ac967e",,"51.274334","14.096299"
"Tauschbörse für Kindersachen + Kleinhaushaltsgeräte",,"Haydnstraße 8","01917","Kamenz","Mittwoch 9 - 12 Uhr","03578 374321",,,,,,,"Deutsch",,"Spenden und Angebote","744f41e9-799c-432b-a9a3-e78d471ec51a",,"51.274334","14.096299"
"Caritas - Regionalstelle Görlitz-  Sozialberatung sowie Kontakt- und Beratungsstelle für Menschen mit psychischen Beeinträchtigungen",,"Ludwig-van-Beethoven-Straße 26","02977","Hoyerswerda",,"03571 979256","03571 978355","regionalstelle@caritas-hoyerswerda.de","http://www.dicvgoerlitz.caritas.de/62456.html",,"Gabriele Hanschmidt","Gabriele Hanschmidt","Deutsch",,"Beratung","df402493-f467-4472-8b98-9038d2ac967e",,"51.43802","14.27085"
"Caritas Verband Oberlausitz e.V. - Kontakt- und Beratungsstelle für Menschen mit psychischen Beeinträchtigungen",,"Straße der Einheit 2","01917","Kamenz",,"03571 979256","03571 978355","regionalstelle@caritas-hoyerswerda.de","http://www.dicvgoerlitz.caritas.de/62456.html",,"Mandy Schimmank","Mandy Schimmank","Deutsch",,"Beratung","df402493-f467-4472-8b98-9038d2ac967e",,"51.282667","14.108999"
"Caritas - Schuldnerberatung ",,"Heidestraße 70","01454","Radeberg ","Do 12:30 - 17:30 Uhr","03528 9462118",,,"https://www.caritas.de/adressen/caritasverband-fuer-dresden-e.-v/schuldnerberatung-radeberg/01454-radeberg/107760",,"Irene Scheithauer","Irene Scheithauer","Deutsch","Außenstelle des Caritasverbands Dresden e.V.","Beratung","df402493-f467-4472-8b98-9038d2ac967e",,"51.108867","13.903052"
"Volkssolidarität KV Bautzen e.V.- Schuldner- und Insolvenzberatungberatung",,"Bahnhofstraße 21","01877","Bischofswerda","Montag 09:00–18:00, Dienstag-Donnerstag 09:00–15:30, Freitag 09:00–13:00","03594 743640","03594 743645","ute.herrmann@volkssolidaritaet.de","https://volkssoli-bautzen.de/soziale%20dienste/schuldner-%20und%20verbraucherinsolvenz.html",,"Ute Herrmann","Ute Herrmann","Deutsch","Die Beratungen werden im Rahmen der persönlichen Hilfe, kostenlos und unter Einhaltung des Datenschutzes durchgeführt. Wir analysieren mit der Gegenüberstellung der Einnahmen, Ausgaben, Ihre finanzielle Situation und die Führung eines Haushaltbuches wird ermöglicht. Wir erarbeiten mit Ihnen und für Sie Schuldenbereinigungspläne, Ratenzahlungen und führen Vergleichsverhandlungen mit den Gläubigern. Wir helfen Ihnen bei der Erstellung und beim Ausfüllen des Insolvenzantrages, wenn die außergerichtliche Schuldenregulierung mit Hilfe unserer Beratungsstelle durchgeführt wurde. Wir sind vom Freistaat Sachsen anerkannte und geförderte Stelle (Insolvenzberatung)  und sind damit berechtigt Ihnen eine Bescheinigung über das Scheitern des Einigungsversuches (§305 Abs. 1 Nr. 1 InsO zu erteilen.

 ","Beratung","df402493-f467-4472-8b98-9038d2ac967e",,"51.12585","14.18272"
"Volkssolidarität KV Bautzen e.V.- Schuldner- und Insolvenzberatungberatung",,"Flinzstraße 15a","02625","Bautzen","Montag und Mittwoch 09:00 - 18:00 Uhr, Dienstag und Donnerstag  09:00 - 15:00 Uhr, Freitag 09:00 - 12:00 Uhr","03591 5980860","03591 3515959","ralf.dworatzek@volkssolidaritaet.de","https://volkssoli-bautzen.de/soziale%20dienste/schuldner-%20und%20verbraucherinsolvenz.html",,"Ralf Dworatzek","Ralf Dworatzek","Deutsch","Die Beratungen werden im Rahmen der persönlichen Hilfe, kostenlos und unter Einhaltung des Datenschutzes durchgeführt. Wir analysieren mit der Gegenüberstellung der Einnahmen, Ausgaben, Ihre finanzielle Situation und die Führung eines Haushaltbuches wird ermöglicht. Wir erarbeiten mit Ihnen und für Sie Schuldenbereinigungspläne, Ratenzahlungen und führen Vergleichsverhandlungen mit den Gläubigern. Wir helfen Ihnen bei der Erstellung und beim Ausfüllen des Insolvenzantrages, wenn die außergerichtliche Schuldenregulierung mit Hilfe unserer Beratungsstelle durchgeführt wurde. Wir sind vom Freistaat Sachsen anerkannte und geförderte Stelle (Insolvenzberatung)  und sind damit berechtigt Ihnen eine Bescheinigung über das Scheitern des Einigungsversuches (§305 Abs. 1 Nr. 1 InsO zu erteilen.

 ","Beratung","df402493-f467-4472-8b98-9038d2ac967e",,"51.18694","14.43389"
"Caritas Verband Oberlausitz e.V. - Allgemeine soziale Beratung",,"Kirchplatz 2","02625","Bautzen","Montag 10 - 12 Uhr und 15 - 17 Uhr, Mittwoch und Freitag 10 - 12 Uhr ","03591 498240","03591 498219","sozialberatung.bz@caritas-oberlausitz.de","http://www.caritas-oberlausitz.de/cs1.htm#AsB%20Bautzen",,"Andreas Deckwart","Andreas Deckwart","Deutsch",,"Beratung","df402493-f467-4472-8b98-9038d2ac967e",,"51.180624","14.42895"
"Sozialberatung des Diakonischen Werkes Bautzen e.V. ","Altenpflegeheim 'Zur Heimat', Büro des Ambulanten Hospizdienstes","Bautzener Straße 37","01877","Bischofswerda","Donnerstag: 15.00 – 17.00 Uhr","03594 756143 (während der Sprechzeit) oder unter 03591  481650",,"h.kreiss@diakonie-bautzen.de","http://www.diakonie-bautzen.de/BERATUNG-UND-HILFE/Sozialarbeit-und-soziale-Beratung.html",,"Hermann Kreiß","Hermann Kreiß","Deutsch","Die Allgemeine Soziale Beratung bzw. Kirchenbezirkssozialarbeit der Diakonie Bautzen hilft Ihnen zu klären, welchen Teil Ihres Problems Sie selbst bewältigen können und welchen Sie sich durch Information und Hilfe von außen abnehmen lassen können. Veränderung kommt selten schlagartig. U. a. dürfen sich auch Selbsthilfegruppen vertrauensvoll an uns wenden. Die fachlich kompetenten Mitarbeitenden bieten in regelmäßigen Sprechstunden und Hausbesuchen ihren Dienst kostenlos an. Unser Angebot: Anlaufstelle für Hilfesuchende, Hilfs- und Beratungsangebote für Einzelpersonen, Familien und Gruppen, Professionelle Beratung für Gemeindekreise, Kirchenvorstände, Mitarbeitende kirchlicher und kommunaler Dienste, Anhörung, Bearbeitung und/oder Vermittlung Ihres Anliegens, Vernetztes Hilfsangebot mit anderen sozialen Trägern, Ämtern und Behörden, Gemeinsames Erarbeiten eines Lösungskonzeptes für Ihre Probleme, Vermittlung von lebenspraktischen und finanziellen Hilfen, Psychosoziale Betreuung, Beratungsangebot für Familien- und Seniorenerholung, sowie Kuren und Freizeiten, Öffentlichkeitsarbeit durch Vorträge u. a. (Information, Prävention), Ehrenamtliche Mitarbeit.","Beratung","df402493-f467-4472-8b98-9038d2ac967e",,"51.130217","14.181941"
"Sozialberatung des Diakonischen Werkes Bautzen e.V. ",,"Karl-Liebknecht-Straße 16","02625","Bautzen","Dienstag: 9.00 Uhr – 11.00 Uhr, 14.00 Uhr – 17.00 Uhr, Donnerstag: 9.00 Uhr – 11.00 Uhr"," 03591  481650","03591 481642","h.kreiss@diakonie-bautzen.de","http://www.diakonie-bautzen.de/BERATUNG-UND-HILFE/Sozialarbeit-und-soziale-Beratung.html",,"Hermann Kreiß","Hermann Kreiß","Deutsch","Die Allgemeine Soziale Beratung bzw. Kirchenbezirkssozialarbeit der Diakonie Bautzen hilft Ihnen zu klären, welchen Teil Ihres Problems Sie selbst bewältigen können und welchen Sie sich durch Information und Hilfe von außen abnehmen lassen können. Veränderung kommt selten schlagartig. U. a. dürfen sich auch Selbsthilfegruppen vertrauensvoll an uns wenden. Die fachlich kompetenten Mitarbeitenden bieten in regelmäßigen Sprechstunden und Hausbesuchen ihren Dienst kostenlos an. Unser Angebot: Anlaufstelle für Hilfesuchende, Hilfs- und Beratungsangebote für Einzelpersonen, Familien und Gruppen, Professionelle Beratung für Gemeindekreise, Kirchenvorstände, Mitarbeitende kirchlicher und kommunaler Dienste, Anhörung, Bearbeitung und/oder Vermittlung Ihres Anliegens, Vernetztes Hilfsangebot mit anderen sozialen Trägern, Ämtern und Behörden, Gemeinsames Erarbeiten eines Lösungskonzeptes für Ihre Probleme, Vermittlung von lebenspraktischen und finanziellen Hilfen, Psychosoziale Betreuung, Beratungsangebot für Familien- und Seniorenerholung, sowie Kuren und Freizeiten, Öffentlichkeitsarbeit durch Vorträge u. a. (Information, Prävention), Ehrenamtliche Mitarbeit.","Beratung","df402493-f467-4472-8b98-9038d2ac967e",,"51.17441","14.4342"
"Sozialverband VdK Sachsen e.V. - Beratungsstelle für behinderte und chronisch kranke Menschen","1. Obergeschoss","Töpferstr. 17","02625","Bautzen","Mittwoch 8 bis 12 Uhr und 14 bis 15.30 Uhr, um eine vorherige telefonische Anmeldung wird gebeten. Zusätzlich Freitag von 10 bis12 Uhr für Terminvereinbarungen.","03591 / 48 13 61","03591 / 53 24 91","kv-bautzen@vdk.de","http://www.vdk.de/kv-bautzen/ID40128",,"Jörg Jonas","Jörg Jonas","Deutsch","Eine Beratung ist nicht an eine Mitgliedschaft gebunden. Die Mitgliedschaft ist notwendig, wenn wir Sie gegenüber Behörden vertreten sollen. Eine Mitgliedschaft kann weiterhin erforderlich werden, wenn wir das komplette Ausfüllen von Anträgen für Sie übernehmen sollen.","Beratung","df402493-f467-4472-8b98-9038d2ac967e",,"51.183108","14.429835"
"Sozialverband VdK Sachsen e.V. - Offene Beratungsstelle für behinderte Menschen",,"Pulsnitzer Str. 11","01917","Kamenz","Dienstag und Donnerstag von 9 Uhr bis 12 Uhr und 13 Uhr bis 15 Uhr - um eine vorherige telefonische Terminvereinbarung wird gebeten.","03578 / 7036936","03578 / 7036937","kv-bautzen@vdk.de","http://www.vdk.de/kv-bautzen/ID40128",,"Jörg Jonas","Jörg Jonas","Deutsch","Eine Beratung ist nicht an eine Mitgliedschaft gebunden. Die Mitgliedschaft ist notwendig, wenn wir Sie gegenüber Behörden vertreten sollen. Eine Mitgliedschaft kann weiterhin erforderlich werden, wenn wir das komplette Ausfüllen von Anträgen für Sie übernehmen sollen.","Beratung","df402493-f467-4472-8b98-9038d2ac967e",,"51.270127","14.093038"
"Sozialverband VdK Sachsen e.V. - Offene Beratungsstelle für behinderte Menschen",,"Liselotte-Herrmann-Str. 50a","02977","Hoyerswerda","Montag von 10 bis 13 Uhr und nach Vereinbarung","03571-414947","03571-478752","ov-hoyerswerda@vdk.de",,,"Ines Pattky","Ines Pattky","Deutsch","Eine Beratung ist nicht an eine Mitgliedschaft gebunden. Die Mitgliedschaft ist notwendig, wenn wir Sie gegenüber Behörden vertreten sollen. Eine Mitgliedschaft kann weiterhin erforderlich werden, wenn wir das komplette Ausfüllen von Anträgen für Sie übernehmen sollen.","Beratung","df402493-f467-4472-8b98-9038d2ac967e",,"51.447693","14.268339"
"Psychosoziale Beratungs- und Behandlungsstelle (PSBB) für Suchtgefährdete und –kranke der AWO KV Bautzen e.V.",,"Löbauer Straße 48","02625","Bautzen","Mo: 09:00 - 12:00 und 13:00 - 15:00, Di:  09:00 - 12:00 und 13:00 - 19:00, Do: 09:00 - 12:00 und 13:00 - 19:00, Fr:  09:00 - 11:00 (mit Voranmeldung), Offene Sprechzeiten - ausschließlich für neue Klienten (Wartezeit ist einzuplanen) Do: 09:00 - 11:00","03591 3261140","03591 3261148","suchtberatung@awo-bautzen.de ","http://www.awo-bautzen.de/suchtberatungsstelle.html",,"Jana Stahn (Dipl.Psychologin)","Jana Stahn (Dipl.Psychologin)","Deutsch","Wir unterstützen Betroffene und deren Angehörige bei Problemen in den Bereichen Alkohol, illegale Drogen, Medikamente, Glücksspiel, Nikotin, Essstörungen.
Auf Wunsch beraten wir anonym. Wir unterliegen der Schweigepflicht. Überweisungsschein ist nicht erforderlich.
Unsere Angebote für Betroffene und Angehörige sind: Beratung und Betreuung (Aufklärung und Information zu den Suchtmitteln, Krisenintervention, Vermittlung, usw.), Gruppenangebote (Info-Gruppe „Alkohol“, Info-Gruppe „Drogen“, Nachsorge-Gruppen, Angehörigen-Seminar, usw.), Tagesstrukturierende Angebote (Ausflüge, Tagestreff, usw.).","Beratung","df402493-f467-4472-8b98-9038d2ac967e",,"51.17977","14.44563"
"Psychosoziale Beratungs- und Behandlungsstelle (PSBB) für Suchtgefährdete und –kranke der AWO KV Bautzen e.V.","Außenstelle","Am Lutherpark 7","01877","Bischofswerda","Mo. 08:00 - 11:30 , Di.  09:00 - 12:00 und 12:30 - 15:00, Do. 09:00 - 12:00 und 13:00 - 19:00,  Fr.  08:00 - 10:30 ","03594 703408 ","03591 715161","siehe oben","siehe oben",,"Christiane Schiemank (Diplom-Sozialpädagogin/Diplom-Sozialarbeiterin)","Christiane Schiemank (Diplom-Sozialpädagogin/Diplom-Sozialarbeiterin)","Deutsch","Wir unterstützen Betroffene und deren Angehörige bei Problemen in den Bereichen Alkohol, illegale Drogen, Medikamente, Glücksspiel, Nikotin, Essstörungen.
Auf Wunsch beraten wir anonym. Wir unterliegen der Schweigepflicht. Überweisungsschein ist nicht erforderlich.
Unsere Angebote für Betroffene und Angehörige sind: Beratung und Betreuung (Aufklärung und Information zu den Suchtmitteln, Krisenintervention, Vermittlung, usw.), Gruppenangebote (Info-Gruppe „Alkohol“, Info-Gruppe „Drogen“, Nachsorge-Gruppen, Angehörigen-Seminar, usw.), Tagesstrukturierende Angebote (Ausflüge, Tagestreff, usw.).","Beratung","df402493-f467-4472-8b98-9038d2ac967e",,"51.12819","14.17469"
"Psychosoziale Beratungs- und Behandlungsstelle (PSBB) für Suchtgefährdete und –kranke der AWO KV Bautzen e.V.","Außensprechstunde","Dresdener Straße 35","02681","Wilthen","Fr. 08:30 - 12:30 (mit Voranmedlung über PSBB Bautzen)","03591 3261140","03591 3261148","suchtberatung@awo-bautzen.de ","http://www.awo-bautzen.de/suchtberatungsstelle.html",,"Josefine Hübner (Diplom-Sozialpädagogin)","Josefine Hübner (Diplom-Sozialpädagogin)","Deutsch","Wir unterstützen Betroffene und deren Angehörige bei Problemen in den Bereichen Alkohol, illegale Drogen, Medikamente, Glücksspiel, Nikotin, Essstörungen.
Auf Wunsch beraten wir anonym. Wir unterliegen der Schweigepflicht. Überweisungsschein ist nicht erforderlich.
Unsere Angebote für Betroffene und Angehörige sind: Beratung und Betreuung (Aufklärung und Information zu den Suchtmitteln, Krisenintervention, Vermittlung, usw.), Gruppenangebote (Info-Gruppe „Alkohol“, Info-Gruppe „Drogen“, Nachsorge-Gruppen, Angehörigen-Seminar, usw.), Tagesstrukturierende Angebote (Ausflüge, Tagestreff, usw.).","Beratung","df402493-f467-4472-8b98-9038d2ac967e",,"51.09649","14.38219"
"Psychosoziale Beratungs- und Behandlungsstelle (PSBB) für Suchtgefährdete und –kranke der AWO KV Bautzen e.V.","Außensprechstunde im Oberlausitz-Klinikum - Krankenhaus Bautzen: Haus 1 / Erdgeschoss","Am Stadtwall 3","02625","Bautzen","Do. 12:30 - 16:30 (mit Voranmedlung über PSBB Bautzen oder den Sozialdienst des Krankenhauses)","03591 3261140 (PSBB) , 03591 3632492 (Sozialdienst)",,"siehe oben","siehe oben",,,,"Deutsch","Wir unterstützen Betroffene und deren Angehörige bei Problemen in den Bereichen Alkohol, illegale Drogen, Medikamente, Glücksspiel, Nikotin, Essstörungen.
Auf Wunsch beraten wir anonym. Wir unterliegen der Schweigepflicht. Überweisungsschein ist nicht erforderlich.
Unsere Angebote für Betroffene und Angehörige sind: Beratung und Betreuung (Aufklärung und Information zu den Suchtmitteln, Krisenintervention, Vermittlung, usw.), Gruppenangebote (Info-Gruppe „Alkohol“, Info-Gruppe „Drogen“, Nachsorge-Gruppen, Angehörigen-Seminar, usw.), Tagesstrukturierende Angebote (Ausflüge, Tagestreff, usw.).","Beratung","df402493-f467-4472-8b98-9038d2ac967e",,"51.18436","14.430628"
"Suchtberatungsstelle der Diakonie Görlitz-Hoyerswerda","Haus Bethesda, Eingang C","Schulstraße 5","02977","Hoyerswerda","Montag 08:00 - 12:00 Uhr und 13:00 - 16:00 Uhr, Dienstag 08:00 - 12:00 Uhr und 14:00 - 16:00 Uhr, Donnerstag 08:00 - 12:00 Uhr und 14:00 - 18:00 Uhr, Freitag 08:00 - 12:00 Uhr. Offene Sprechstunde: montags 13:00 - 15:00 Uhr, dienstags 08:00 - 12:00 Uhr","03571/428504","03571/408255","sbb@diakonie-hoyerswerda.de","http://www.diakonie-goerlitz.de/beratungsdienste/suchtberatungs-und-behandlungsstelle-hoyerswerda/kontakt-sbb-hy.html",,"Leiterin Kerstin Schönwald (Dipl.-Sozialpädagogin/Sozialtherapeutin (VT))","Leiterin Kerstin Schönwald (Dipl.-Sozialpädagogin/Sozialtherapeutin (VT))","Deutsch","Außensprechstunde in Lauta (02991 Lauta, Rosa-Luxemburg-Straße 11) montags von 15:00 - 19:00 Uhr, Sprechstunden im Lausitzer Seenland Klinikum Hoyerswerda (02977 Hoyerswerda, Maria-Grollmuß-Straße 10) donnerstags von 09:00 - 12:00 Uhr.
 
Außerhalb der Sprechzeiten können Termine vereinbart werden, um unserem Klientel in der aktuellen Situation zu entsprechen.","Beratung","df402493-f467-4472-8b98-9038d2ac967e",,"51.43849","14.23613"
"Selbsthilfekontaktstelle der Diakonie im Landkreis Bautzen",,"Büro Hoyerswerda",,"Hoyerswerda",,"03571 / 40 83 65",,"sks-hy@diakonie-hoyerswerda.de","http://selbsthilfe-landkreis-bautzen.de/, http://www.diakonie-goerlitz.de/beratungsdienste/selbsthilfekontaktstelle-landkreis-bautzen/sks-angebote.html",,,,"Deutsch","Unsere Selbsthilfekontaktstelle ist Ansprechpartner für alle Fragen im Hinblick auf Selbsthilfe. In unserer Selbsthilfekontaktstelle können Interessierte, Betroffene und Selbsthilfegruppen (SHG) sowie Initiativen und Vereine, Beratung und Hilfe bei der Bewältigung von Problemen erhalten. Wir unterstützen Selbsthilfegruppen und -initiativen bei Gründung, Begleitung, Öffentlichkeitsarbeit und Organisation. Auch die Vernetzung mit Ämtern, Institutionen und Politik ist eine unserer Aufgaben. Erfahrungen austauschen, voneinander lernen, sich gegenseitig ermutigen und entlasten, gemeinsam Fähigkeiten aneignen, um so den Alltag besser zu meistern: das ist Selbsthilfe. Folgende Selbsthilfegruppen nach Themen gibt es: chronische Erkrankungen, Menschen mit Behinderungen, psychosoziale Bereiche, Sucht , Angehörigenhilfe, Soziale und Seniorenselbsthilfe.","Beratung","df402493-f467-4472-8b98-9038d2ac967e",,"51.431597","14.253035"
"Selbsthilfekontaktstelle der Diakonie im Landkreis Bautzen",,"Büro Bautzen",,"Bautzen",,"03591 / 35 15 86 3",,"sks-hy@diakonie-hoyerswerda.de","http://selbsthilfe-landkreis-bautzen.de/, http://www.diakonie-goerlitz.de/beratungsdienste/selbsthilfekontaktstelle-landkreis-bautzen/sks-angebote.html",,,,"Deutsch","Unsere Selbsthilfekontaktstelle ist Ansprechpartner für alle Fragen im Hinblick auf Selbsthilfe. In unserer Selbsthilfekontaktstelle können Interessierte, Betroffene und Selbsthilfegruppen (SHG) sowie Initiativen und Vereine, Beratung und Hilfe bei der Bewältigung von Problemen erhalten. Wir unterstützen Selbsthilfegruppen und -initiativen bei Gründung, Begleitung, Öffentlichkeitsarbeit und Organisation. Auch die Vernetzung mit Ämtern, Institutionen und Politik ist eine unserer Aufgaben. Erfahrungen austauschen, voneinander lernen, sich gegenseitig ermutigen und entlasten, gemeinsam Fähigkeiten aneignen, um so den Alltag besser zu meistern: das ist Selbsthilfe. Folgende Selbsthilfegruppen nach Themen gibt es: chronische Erkrankungen, Menschen mit Behinderungen, psychosoziale Bereiche, Sucht , Angehörigenhilfe, Soziale und Seniorenselbsthilfe.","Beratung","df402493-f467-4472-8b98-9038d2ac967e",,"51.18154","14.42836"
"Suchtberatungs- und -behandlungsstelle der Diakonie Kamenz, Diakonisches Werk Kamenz e.V.",,"Fichtestraße 8","01917","Kamenz","Montag 9.00 Uhr - 12.00 Uhr und 16.00 Uhr - 19.00 Uhr, Dienstag und Donnerstag 8.00 Uhr - 12.00 Uhr und 13.00 Uhr - 15.00 Uhr, Mittwoch 9.00 Uhr - 12.00 Uhr und 13.00 Uhr - 18.00 Uhr","03578 3854-30","03578 3854-31","sbb.dw-kamenz@evlks.de","http://www.diakonie-kamenz.de/beratungsdienste_suchtberatungs-_und_-behandlungsstelle_de.html",,"Simone Mattukat","Simone Mattukat","Deutsch","Wir beraten betroffene Suchtkranke und Suchtgefährdete, deren Angehörige und andere interessierte Personen. Wir helfen und beraten bei Problemen und Fragen zu: Alkohol, illegalen Drogen, Medikamenten, Nikotin, Essstörungen, Spielsucht und andere. Wir bieten: Beratung und Behandlung, Gruppenangebote, Krankenhaussprechzeiten, Vermittlung in stationäre Behandlung, ambulante Nachsorge, niedrigeschwellige Kontaktangebote und Prävention","Beratung","df402493-f467-4472-8b98-9038d2ac967e",,"51.272953","14.107289"
"Suchtberatungs- und -behandlungsstelle der Diakonie Kamenz, Diakonisches Werk Kamenz e.V.","Außenstelle Radeberg: Bürgerhaus Radeberg","Bruno-Thum-Weg 2","01454","Radeberg","Montag 08:00 Uhr - 11.00 Uhr , Dienstag 08.30 Uhr - 12.00 Uhr und 12.30 Uhr - 18.00 Uhr, Mittwoch 10.00 Uhr - 14.00 Uhr, Donnerstag 08.00 Uhr - 12.00 Uhr","03528 413307","03528 418367","sbb.dw-kamenz@evlks.de","http://www.diakonie-kamenz.de/suchtberatungs-_und_-behandlungsstelle_wann_wo_de.html",,"Anett Wehner","Anett Wehner","Deutsch","Unsere Selbsthilfekontaktstelle ist Ansprechpartner für alle Fragen im Hinblick auf Selbsthilfe. In unserer Selbsthilfekontaktstelle können Interessierte, Betroffene und Selbsthilfegruppen (SHG) sowie Initiativen und Vereine, Beratung und Hilfe bei der Bewältigung von Problemen erhalten. Wir unterstützen Selbsthilfegruppen und -initiativen bei Gründung, Begleitung, Öffentlichkeitsarbeit und Organisation. Auch die Vernetzung mit Ämtern, Institutionen und Politik ist eine unserer Aufgaben. Erfahrungen austauschen, voneinander lernen, sich gegenseitig ermutigen und entlasten, gemeinsam Fähigkeiten aneignen, um so den Alltag besser zu meistern: das ist Selbsthilfe. Folgende Selbsthilfegruppen nach Themen gibt es: chronische Erkrankungen, Menschen mit Behinderungen, psychosoziale Bereiche, Sucht , Angehörigenhilfe, Soziale und Seniorenselbsthilfe.","Beratung","df402493-f467-4472-8b98-9038d2ac967e",,"51.12142","13.9246"
"Suchtberatungs- und -behandlungsstelle der Diakonie Kamenz, Diakonisches Werk Kamenz e.V.","Diakonie - Sozialstation","Fried-Walter-Straße 2","01458","Ottendorf-Okrilla","Dienstag 14.00 Uhr - 19.00 Uhr; Beratung nach telefonischer Terminvereinbarung","03578 3854-30",,"sbb.dw-kamenz@evlks.de","http://www.diakonie-kamenz.de/suchtberatungs-_und_-behandlungsstelle_wann_wo_de.html",,"Jens Gahrig","Jens Gahrig","Deutsch","Unsere Selbsthilfekontaktstelle ist Ansprechpartner für alle Fragen im Hinblick auf Selbsthilfe. In unserer Selbsthilfekontaktstelle können Interessierte, Betroffene und Selbsthilfegruppen (SHG) sowie Initiativen und Vereine, Beratung und Hilfe bei der Bewältigung von Problemen erhalten. Wir unterstützen Selbsthilfegruppen und -initiativen bei Gründung, Begleitung, Öffentlichkeitsarbeit und Organisation. Auch die Vernetzung mit Ämtern, Institutionen und Politik ist eine unserer Aufgaben. Erfahrungen austauschen, voneinander lernen, sich gegenseitig ermutigen und entlasten, gemeinsam Fähigkeiten aneignen, um so den Alltag besser zu meistern: das ist Selbsthilfe. Folgende Selbsthilfegruppen nach Themen gibt es: chronische Erkrankungen, Menschen mit Behinderungen, psychosoziale Bereiche, Sucht , Angehörigenhilfe, Soziale und Seniorenselbsthilfe.","Beratung","df402493-f467-4472-8b98-9038d2ac967e",,"51.184583","13.826482"
